               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.025689,             0.01889,                   0,             0.76327,             0.65463,              0.7277,             0.43461,            0.038812,            0.017704,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025049,            0.019116,                   0,             0.81113,             0.63939,             0.70596,             0.40733,            0.040487,             0.01881,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025683,            0.019582,                   0,             0.74297,             0.66061,             0.72374,             0.43379,            0.039407,             0.01839,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.025175,            0.020407,                   0,             0.75852,             0.68485,             0.73603,             0.45365,            0.038482,            0.017478,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.025532,            0.020022,                   0,              0.7965,             0.69394,             0.75609,             0.47198,            0.037782,            0.017052,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024126,            0.018029,                   0,             0.80671,              0.6703,             0.75474,             0.45987,              0.0379,             0.01714,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024194,            0.018902,                   0,             0.86955,             0.65758,              0.7656,             0.46117,            0.037163,            0.016698,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024466,            0.018906,                   0,             0.76616,             0.70303,             0.76422,             0.47335,            0.037181,            0.017133,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02399,            0.018684,                   0,             0.74546,                 0.7,             0.74212,             0.45345,            0.038809,            0.017966,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024072,            0.018861,                   0,             0.79389,             0.67576,             0.74825,             0.45078,            0.037848,            0.018076,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024202,            0.018116,                   0,             0.77796,             0.70072,             0.75471,             0.46495,            0.037084,            0.018217,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023311,            0.018282,                   0,              0.8343,             0.63333,             0.75321,             0.47787,            0.036376,            0.018048,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023164,            0.018158,                   0,             0.81543,             0.67576,             0.75519,             0.48145,            0.035997,            0.017444,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023182,            0.016714,                   0,             0.77259,             0.67948,              0.7497,             0.46531,            0.036596,            0.017632,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023481,            0.017128,                   0,             0.76054,             0.69394,             0.73296,             0.45179,             0.03693,            0.018367,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022964,            0.017468,                   0,             0.77923,             0.70591,             0.75942,             0.46929,            0.036909,             0.01794,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.02317,             0.01783,                   0,             0.73881,             0.72001,             0.75539,             0.47011,            0.036776,            0.017738,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.022809,             0.01789,                   0,             0.81932,             0.65758,             0.74823,             0.46299,            0.037248,            0.017989,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023107,            0.017434,                   0,             0.77472,             0.70909,             0.76154,             0.47179,            0.036939,            0.018053,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.023058,            0.016825,                   0,              0.8084,             0.66364,             0.75494,              0.4745,            0.037677,            0.018384,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.022841,            0.017137,                   0,             0.77448,             0.66364,             0.74692,             0.47073,            0.037426,            0.018254,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022126,            0.017321,                   0,             0.78415,             0.70303,             0.76588,             0.48093,            0.037228,            0.018366,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02208,            0.017509,                   0,             0.77458,             0.71846,              0.7642,             0.47188,            0.037197,            0.018319,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021897,            0.016454,                   0,             0.75457,             0.69394,             0.74941,             0.47372,            0.036729,            0.018934,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021708,            0.016421,                   0,             0.75326,             0.69385,             0.75233,             0.46889,            0.037214,            0.019089,                   0,             0.00208,             0.00208,             0.00208
